.0A,COLLEGE NAME,WEBSITE,ADRESS
191,"Gateway Institute Of Engineering & Technology GIET, Sonipat",https://gateway.edu.in/giet/,
192,"Gateway Institute Of Hotel & Tourism Management, Sonipat",https://gateway.edu.in/gihm/,
193,"Gayatri Degree & PG College, Tirupati",http://www.gayatricollege.in/,
194,"Geeta Arya College Of Education, Julana",http://www.geetaaryacollegeofeducation.com/,
195,Geetanjali College of Pharmaceutical Studies Udaipur Rajasthan,https://www.geetanjaliuniversity.com/,
196,"Geetanjali Institute Of Technical Studies, Udaipur",https://www.gits.ac.in/,
197,"Geethanjali Institute of Science and Technology (GIST), Nellore",http://www.gist.edu.in/,
198,"Ghoom Jorebunglow Degree College, Darjeeling",http://ghoomjorebunglowcollege.com/,
199,"Global Tech Institute Of Management GTIM, New Delhi",https://gtim.edu.in/,
200,GMR Institute of Technology,http://www.gmrit.org/,
201,"Goa College Of Architecture, Panaji",https://www.gcarch.goa.gov.in/,
202,"Goa College Of Art, Panaji",https://www.goacollegeofart.com/,
203,"Goa College Of Engineering, Ponda",http://www.gec.ac.in/,
204,"Goa College Of Engineering, Ponda",http://www.gec.ac.in/,
205,"Goa College Of Home Science, Panaji",http://www.goahomescience.gov.in/,
206,"Goa College Of Hospitality & Culinary Education, Vainguinim Beach",https://www.goahospitalitycollege.com/,
207,"Goa Dental College And Hospital, Bambolim",http://gdch.goa.gov.in/,
208,Godavari Institute of Engineering & Technology,http://www.giet.ac.in/,
209,"Gopabandhu Science College, Athgarh",http://www.gscathgarh.in/index,
210,"Goswami Tulsidas Govt. PG College Karwi, Chitrakoot",https://www.gtgdc.org/index.php,
211,"Government Arvind College, Kirandul",http://www.gackdl.com/,
212,"Government College For Women GCW, Parade",https://www.gcwparade.in/,
213,"Government College Of Engineering & Technology, Jammu",http://gcetjammu.org.in/,
214,"Government College Of Nursing, Kozhikode",https://govcnc.org/,
215,"Government College, Anantapur",http://www.gdcatp.org/,
216,"Government College, Bomdila",http://govtcollegebomdila.in/,
217,"Government College, Khandar",https://hte.rajasthan.gov.in/college/gckhandar,
218,"Government College, Kurwai",https://www.govcollegekurwai.in/,
219,"Government College, Nagina",http://gcnagina.ac.in/Home,
220,"Government College, Rhenock",http://sgcrhenock.in/,
221,"Government College, Yachuli",http://www.gcyachuli.ac.in/,
222,"Government Degree College, Akhnoor",http://gdcakhnoor.com/,
223,"Government Degree College, Bhadarwah",https://www.gdcbhadarwah.com/,
224,"Government Degree College, Dharmanagar",http://www.gdcdharmanagar.in/,
225,"Government Degree College, Doimukh",http://www.gcdap.org/,
226,"Government Degree College, Kamalpur",http://gdcktripura.nic.in/,
227,"Government Degree College, Kangan",http://gdckangan.com/,
228,"Government Degree College, Paloura",http://www.gdcpaloura.in/,
229,"Government Dental College and Hospital, Hyderabad",https://gdchyd.com/,
230,"Government First Grade College, Holenarasipura",https://gfgc.kar.nic.in/holenarsipur-women,
231,"Government Girls Polytechnic, Almora",http://ggpalmora.org.in/,
232,"Government Girls Polytechnic, Kotabagh",http://www.gpkotabagh.org.in/,
233,"Government Girls Polytechnic, Suddhowala",http://www.ggpdun.com/,
234,"Government Gundadhur PG College, Kondagaon",http://ggckondagaon.in/,
235,"Government Homeopathic Medical College, Thiruvananthapuram",http://www.ghmct.org/,
236,"Government Kamalanagar College, Kamalanagar",http://www.gknc.in/,
237,"Government Law College, Ernakulam",http://glcekm.com/,
238,"Government Lawngtlai College (GLC), Lawngtlai",http://www.lawngtlaicollege.mizoram.gov.in/,
239,"Government Medical College, Jammu",http://www.gmcjammu.nic.in/,
240,"Government Medical College, Kannauj",http://govtmckannauj.in/,
241,"Government MH College Of Home Science & Science For Women, Jabalpur",http://www.gmhcollege.org.in/,
242,"Government Model College, Seppa",http://www.gmcseppa.com/,
243,"Government P.G College For Women, Rohtak (GPGCW, Rohtak)",https://gcwrohtak.com/,
244,"Government Physiotherapy College, Raipur",https://business.google.com/website/gpcraipur,
245,"Government Polytechnic, Bhaga",http://www.gpbhaga.com/,
246,"Government Polytechnic, Dwarahat",http://www.gpdwarahat.com/,
247,"Government Polytechnic, Kabirdham",https://gpkabirdham.ac.in/,
248,"Government Polytechnic, Koderma",http://gp-koderma.org/,
249,"Government Polytechnic, Narendranagar",http://www.gpnngr.org.in/,
250,"Government Polytechnic, Shaktifarm",http://www.governmentpolytechnicshaktifarm.com/,
251,"Government Rewtiraman Mishra PG College, Surajpur",http://www.govtcollegesurajpur.ac.in/index.aspx,
252,"Government Saiha College, Saiha",http://www.governmentsaihacollege.edu.in/,
253,"Government Serchhip College (GSC), Serchhip",http://www.serchhipcollege.ac.in/,
254,"Govindbhai Jorabhai Patel AyurvedIc College & Research Centre, Anand",http://www.ayugjac.edu.in/,
255,"Govt Degree College For Women, Kathua",http://www.gdcwkathua.in/,
256,"Govt Degree College, Bani",http://www.gdcbani.com/,
257,"Govt Degree College, Budhal",http://www.gdcbudhal.com/,
258,"Govt Degree College, Dharmari",https://www.gdcdharmari.co.in/,
259,"Govt Degree College, Gool",http://www.gdcgool.com/,
260,"Govt Degree College, Jindrah",https://www.gdcjindrah.co.in/,
261,"Govt Degree College, Kargil",http://universityofladakh.org.in/dckargil.php,
262,"Govt Degree College, Khour",http://www.gdckhour.com/,
263,"Govt Degree College, Khumulwng",http://khumulwngcollege.in/,
264,"Govt Degree College, Mahanpur",https://www.gdcmahanpur.co.in/,
265,"Govt Degree College, Nowshera",http://www.gdcnowshera.co.in/,
266,"Govt Degree College, Surankote",https://www.gdcsurankote.in/,
267,"Govt Homoeopathic Medical College, Bhopal",http://www.ghmcbhopalayush.com/,
268,"Govt Industrial Training Institute ITI, Berthin",https://www.itiberthin.org/,
269,"Govt Industrial Training Institute ITI, Chintpurni",http://www.itichintpurni.org/,
270,"Govt Industrial Training Institute ITI, Kullu",http://itikullu.in/,
271,"Govt Khawzawl College, Khawzawl",http://khawzawlcollege.com/,
272,"Govt Mizoram Law College MLC, Aizawl",https://mlc.mizoram.gov.in/,
273,"Govt Naveen Mahavidyalaya, Odgi",http://govtcollegeodgi.ac.in/,
274,"Govt Saitual College, Saitual",http://saitualcollege.net/,
275,"Govt Shahid Gend Singh College, Charma",http://www.govtcollegecharama.in/,
276,"Govt T Romana College, Aizawl",http://www.trcollege.net/,
277,"Govt Technical Training Centre, Chennai",http://gttcguindy.in/,
